Virus.name	UF	Collection.date	Lineage	pangoLEARN_release	SeqN	DataSeq
hCoV-19/Brazil/AL-FIOCRUZ-11163/2021	AL	2021-02-13	P.1	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11164/2021	AL	2021-02-14	P.2	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11165/2021	AL	2021-02-14	P.2	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11166/2021	AL	2021-02-15	P.2	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11167/2021	AL	2021-02-15	P.2	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11168/2021	AL	2021-02-15	P.1	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11169/2021	AL	2021-02-15	P.2	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11170/2021	AL	2021-02-15	P.2	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11171/2021	AL	2021-02-15	P.1	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11172/2021	AL	2021-02-15	P.1	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11173/2021	AL	2021-02-15	P.1	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11174/2021	AL	2021-02-15	P.2	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11175/2021	AL	2021-02-17	P.2	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11176/2021	AL	2021-02-16	N.9	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11177/2021	AL	2021-02-16	P.2	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11178/2021	AL	2021-02-16	P.1	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11179/2021	AL	2021-02-17	P.1	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11180/2021	AL	2021-01-30	P.1	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-11181/2021	AL	2021-02-04	P.1	NA	MiSeq_LVRS_062	NA
hCoV-19/Brazil/AL-FIOCRUZ-15694/2021	AL	2021-02-25	P.2	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15695/2021	AL	2021-02-25	P.2	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15696/2021	AL	2021-02-25	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15697/2021	AL	2021-02-25	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15698/2021	AL	2021-02-25	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15699/2021	AL	2021-02-25	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15700/2021	AL	2021-02-25	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15701/2021	AL	2021-02-25	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15702/2021	AL	2021-02-25	B.1.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15703/2021	AL	2021-02-25	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15705/2021	AL	2021-02-26	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15706/2021	AL	2021-02-26	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15707/2021	AL	2021-02-27	P.2	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15708/2021	AL	2021-02-27	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15709/2021	AL	2021-02-27	P.2	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15710/2021	AL	2021-02-27	P.2	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15711/2021	AL	2021-03-01	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15712/2021	AL	2021-02-28	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15713/2021	AL	2021-03-01	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15714/2021	AL	2021-03-01	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15715/2021	AL	2021-03-01	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15716/2021	AL	2021-03-02	B.1.1.33	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15717/2021	AL	2021-03-02	B.1.1.33	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15718/2021	AL	2021-03-02	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15719/2021	AL	2021-03-02	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15720/2021	AL	2021-03-02	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15721/2021	AL	2021-03-03	P.2	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15722/2021	AL	2021-03-03	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15723/2021	AL	2021-03-02	P.2	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15724/2021	AL	2021-02-23	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15729/2021	AL	2021-02-18	P.2	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15730/2021	AL	2021-02-18	P.2	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15732/2021	AL	2021-02-26	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-15735/2021	AL	2021-03-24	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-16703/2021	AL	2021-02-19	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/AL-FIOCRUZ-2975/2021	AL	2020-12-30	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/AL-FIOCRUZ-30270-1P/2020	AL	2020-12-04	P.2	NA	MiSeq_LVRS_036	2021-01-19
hCoV-19/Brazil/AL-FIOCRUZ-33113/2020	AL	2020-12-25	P.2	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/AL-FIOCRUZ-33118/2020	AL	2020-05-20	B.1.1.28	NA	MiSeq_LVRS_039,40	2021-02-05
hCoV-19/Brazil/AL-FIOCRUZ-33444-1P/2020	AL	2020-04-22	B.1.1.28	NA	MiSeq_LVRS_063	2021-03-29
hCoV-19/Brazil/AL-FIOCRUZ-33444/2020	AL	2020-04-22	B.1.1.28	NA	MiSeq_LVRS_042,43,44	2021-02-09
hCoV-19/Brazil/AL-FIOCRUZ-33595/2020	AL	2020-12-29	B.1.1.34	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/AL-FIOCRUZ-33596/2020	AL	2020-12-29	P.2	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-33597/2020	AL	2020-12-29	P.2	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-33598/2020	AL	2020-12-17	P.2	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-33599/2020	AL	2020-12-17	P.2	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-33600/2020	AL	2020-12-15	P.2	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-33813/2020	AL	2020-05-29	B.1.1.33	NA	MiSeq_LVRS_059_060_061	2021-03-22
hCoV-19/Brazil/AL-FIOCRUZ-4280/2021	AL	2021-01-25	P.2	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-4281/2021	AL	2021-01-25	B.1.1.34	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-4283/2021	AL	2021-01-25	P.2	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-4284/2021	AL	2021-01-25	P.2	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-4285/2021	AL	2021-01-25	P.2	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-4286/2021	AL	2021-01-25	P.2	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-4287/2021	AL	2021-01-25	P.2	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-4288/2021	AL	2021-01-25	P.1	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-4292/2021	AL	2021-01-24	P.2	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-4293/2021	AL	2021-01-25	B.1.1.143	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-4296/2021	AL	2021-01-18	B.1.1.29	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-4782/2021	AL	2021-01-27	P.1	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-4784/2021	AL	2021-01-27	P.1	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-4787/2021	AL	2021-01-27	P.1	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-4789/2021	AL	2021-01-27	P.1	NA	MiSeq_LVRS_046	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-4792/2021	AL	2021-01-27	P.1	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-4793/2021	AL	2021-01-27	P.1	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-4794/2021	AL	2021-01-27	P.1	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-4797/2021	AL	2021-01-29	P.2	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-4798/2021	AL	2021-01-29	P.1	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/AL-FIOCRUZ-6800/2021	AL	2021-02-02	P.2	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/AL-FIOCRUZ-6801/2021	AL	2021-02-02	P.1	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/AL-FIOCRUZ-6802/2021	AL	2021-02-02	B.1.1.34	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/AL-FIOCRUZ-6803/2021	AL	2021-02-02	P.2	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/AL-FIOCRUZ-6804/2021	AL	2021-02-03	P.1	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/AL-FIOCRUZ-6805/2021	AL	2021-02-03	P.2	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/AL-FIOCRUZ-6806/2021	AL	2021-02-03	P.2	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/AL-FIOCRUZ-6807/2021	AL	2021-02-03	P.2	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/AL-FIOCRUZ-6808/2021	AL	2021-02-03	P.1	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/AL-FIOCRUZ-6809/2021	AL	2021-02-03	P.2	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/AL-FIOCRUZ-6810/2021	AL	2021-02-03	P.2	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/AL-FIOCRUZ-6811/2021	AL	2021-02-03	P.2	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/AL-FIOCRUZ-6812/2021	AL	2021-02-03	P.2	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/AL-FIOCRUZ-6813/2021	AL	2021-02-03	P.2	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/AL-FIOCRUZ-6821/2021	AL	2021-02-04	P.1	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/AL-FIOCRUZ-6825/2021	AL	2021-02-04	P.2	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/AL-FIOCRUZ-6826/2021	AL	2021-02-04	P.2	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/AL-FIOCRUZ-6828/2021	AL	2021-02-04	P.1	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/AL-FIOCRUZ-6829/2021	AL	2021-02-09	P.2	NA	MiSeq_LVRS_050	2021-03-01
hCoV-19/Brazil/AL-FIOCRUZ-6833/2021	AL	2021-02-03	B.1.1.28	NA	MiSeq_LVRS_048	2021-02-26
hCoV-19/Brazil/AL-FIOCRUZ-8932/2021	AL	2021-02-10	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8933/2021	AL	2021-02-11	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8934/2021	AL	2021-02-11	B.1.1.143	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8936/2021	AL	2021-02-11	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8937/2021	AL	2021-02-11	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8938/2021	AL	2021-02-11	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8939/2021	AL	2021-02-12	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8940/2021	AL	2021-02-12	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8941/2021	AL	2021-02-11	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8943/2021	AL	2021-02-11	B.1.1.28	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8944/2021	AL	2021-02-11	B.1.1.28	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8946/2021	AL	2021-02-11	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8947/2021	AL	2021-02-12	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8948/2021	AL	2021-02-12	B.1.1.7	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8949/2021	AL	2021-02-12	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8950/2021	AL	2021-02-12	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8952/2021	AL	2021-02-12	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8953/2021	AL	2021-02-13	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8954/2021	AL	2021-02-13	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8955/2021	AL	2021-02-12	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8956/2021	AL	2021-02-13	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8957/2021	AL	2021-02-13	P.2	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8958/2021	AL	2021-02-12	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8960/2021	AL	2021-02-13	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8962/2021	AL	2021-01-30	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8963/2021	AL	2021-02-03	P.1	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8967/2021	AL	2021-02-15	B.1.1.33	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AL-FIOCRUZ-8968/2021	AL	2021-02-18	B.1.1.33	NA	MiSeq_LVRS_057	2021-03-16
hCoV-19/Brazil/AM-FIOCRUZ-3522-1P/2021	AM	2021-01-08	P.1	NA	MiSeq_LVRS_045	2021-02-18
hCoV-19/Brazil/BA-FIOCRUZ-10776/2021	BA	2021-02-05	P.2	NA	MiSeq_LVRS_064	2021-03-29
hCoV-19/Brazil/BA-FIOCRUZ-10777/2021	BA	2021-02-05	P.2	NA	MiSeq_LVRS_064	2021-03-29
hCoV-19/Brazil/BA-FIOCRUZ-10778/2021	BA	2021-02-09	P.1	NA	MiSeq_LVRS_064	2021-03-29
hCoV-19/Brazil/BA-FIOCRUZ-10779/2021	BA	2021-02-10	P.2	NA	MiSeq_LVRS_064	2021-03-29
hCoV-19/Brazil/BA-FIOCRUZ-10780/2021	BA	2021-02-10	B.1.1.28	NA	MiSeq_LVRS_064	2021-03-29
hCoV-19/Brazil/BA-FIOCRUZ-10781/2021	BA	2021-02-10	B.1.1.333	NA	MiSeq_LVRS_064	2021-03-29
hCoV-19/Brazil/BA-FIOCRUZ-10782/2021	BA	2021-02-11	P.1	NA	MiSeq_LVRS_064	2021-03-29
hCoV-19/Brazil/BA-FIOCRUZ-10783/2021	BA	2021-02-11	B.1.1.7	NA	MiSeq_LVRS_063	2021-03-29
hCoV-19/Brazil/BA-FIOCRUZ-10784/2021	BA	2021-02-11	P.2	NA	MiSeq_LVRS_063	2021-03-29
hCoV-19/Brazil/BA-FIOCRUZ-10785/2021	BA	2021-02-15	P.2	NA	MiSeq_LVRS_063	2021-03-29
hCoV-19/Brazil/BA-FIOCRUZ-10786/2021	BA	2021-02-15	P.2	NA	MiSeq_LVRS_063	2021-03-29
hCoV-19/Brazil/BA-FIOCRUZ-10787/2021	BA	2021-02-15	P.1	NA	MiSeq_LVRS_064	2021-03-29
hCoV-19/Brazil/BA-FIOCRUZ-10788/2021	BA	2021-02-15	P.2	NA	MiSeq_LVRS_064	2021-03-29
hCoV-19/Brazil/BA-FIOCRUZ-10790/2021	BA	2021-02-17	P.2	NA	MiSeq_LVRS_063	2021-03-29
hCoV-19/Brazil/BA-FIOCRUZ-10791/2021	BA	2021-02-17	P.2	NA	MiSeq_LVRS_063	2021-03-29
hCoV-19/Brazil/BA-FIOCRUZ-10793/2021	BA	2021-02-18	P.1	NA	MiSeq_LVRS_063	2021-03-29
hCoV-19/Brazil/BA-FIOCRUZ-10794/2021	BA	2021-02-19	P.2	NA	MiSeq_LVRS_064	2021-03-29
hCoV-19/Brazil/BA-FIOCRUZ-10795/2021	BA	2021-02-19	P.2	NA	MiSeq_LVRS_064	2021-03-29
hCoV-19/Brazil/BA-FIOCRUZ-10802/2021	BA	2021-01-08	B.1.1.7	NA	MiSeq_LVRS_064	2021-03-29
hCoV-19/Brazil/BA-FIOCRUZ-12629/2021	BA	2021-03-16	P.1	2021-03-16	MiSeq_LVRS_065 / MiSeq_LVRS_068	NA
hCoV-19/Brazil/BA-FIOCRUZ-12630/2021	BA	2021-03-16	P.1	2021-03-16	MiSeq_LVRS_065 / MiSeq_LVRS_068	NA
hCoV-19/Brazil/BA-FIOCRUZ-14202/2021	BA	2021-03-23	P.2	2021-03-16	MiSeq_LVRS_068	NA
hCoV-19/Brazil/BA-FIOCRUZ-14203/2021	BA	2021-03-23	P.1	2021-03-16	MiSeq_LVRS_068	NA
hCoV-19/Brazil/BA-FIOCRUZ-14204/2021	BA	2021-03-23	P.1	2021-03-16	MiSeq_LVRS_068	NA
hCoV-19/Brazil/BA-FIOCRUZ-15698/2020	BA	2020-07-02	B.1.1.28	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/BA-FIOCRUZ-15699/2020	BA	2020-08-03	B.1.1.28	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/BA-FIOCRUZ-16705/2021	BA	2021-03-23	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/BA-FIOCRUZ-16706/2021	BA	2021-03-23	P.2	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/BA-FIOCRUZ-16707/2021	BA	2021-03-23	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/BA-FIOCRUZ-16711/2021	BA	2021-03-24	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/BA-FIOCRUZ-16712/2021	BA	2021-03-24	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/BA-FIOCRUZ-16713/2021	BA	2021-03-24	P.1	2021-04-14	MiSeq_LVRS_069	NA
hCoV-19/Brazil/BA-FIOCRUZ-21776/2020	BA	2020-07-05	B.1.1.28	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/BA-FIOCRUZ-21777/2020	BA	2020-07-07	B.1.1.162	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/BA-FIOCRUZ-21778/2020	BA	2020-07-10	B.1	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/BA-FIOCRUZ-21779/2020	BA	2020-07-13	B.1	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/BA-FIOCRUZ-21781/2020	BA	2020-07-17	B.1.1.28	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/BA-FIOCRUZ-21782/2020	BA	2020-07-20	B.1.1.33	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/BA-FIOCRUZ-21784/2020	BA	2020-07-29	B.1.1.28	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/BA-FIOCRUZ-21785/2020	BA	2020-07-31	B.1.1.29	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/BA-FIOCRUZ-21788/2020	BA	2020-08-07	B.1.1.28	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/BA-FIOCRUZ-21790/2020	BA	2020-08-12	N.4	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/BA-FIOCRUZ-21793/2020	BA	2020-08-20	B.1.1.180	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/BA-FIOCRUZ-21794/2020	BA	2020-08-20	B.1	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/BA-FIOCRUZ-22286/2020	BA	NA	B.1.1.28	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/BA-FIOCRUZ-22291/2020	BA	NA	B.1.1.28	NA	MiSeq_LVRS_01	2020-06-02
hCoV-19/Brazil/BA-FIOCRUZ-33253/2020	BA	2020-09-01	B.1.1.28	NA	MiSeq_LVRS_038	2021-02-01
hCoV-19/Brazil/BA-FIOCRUZ-33254/2020	BA	2020-09-02	B.1.1.28	NA	MiSeq_LVRS_038	2021-02-01
hCoV-19/Brazil/BA-FIOCRUZ-33255/2020	BA	2020-09-08	B.1.1.28	NA	MiSeq_LVRS_038	2021-02-01
hCoV-19/Brazil/BA-FIOCRUZ-33257/2020	BA	2020-09-10	B.1	NA	MiSeq_LVRS_038	2021-02-01
hCoV-19/Brazil/BA-FIOCRUZ-33258/2020	BA	2020-09-10	B.1.1.28	NA	MiSeq_LVRS_038	2021-02-01
hCoV-19/Brazil/BA-FIOCRUZ-33261/2020	BA	2020-09-16	B.1.1.106	NA	MiSeq_LVRS_038	2021-02-01
